"Convenience Store", "コンビニ決済"
"Option available only for orders in JPY","このオプションは、日本円でのご利用時のみご設定いただけます"
"Print", "印刷"
"Minimum order value is %amount", "最低金額: %amount 円"
"Manage your cards", "カードを管理する"
"Test mode", "テストモード"
"Card was marked as fraudulent.", "不正なカードとしてマーク済み"
"General payment processing failure.", "決済処理に失敗しました。"
"Insufficient funds in the account or the card has reached the credit limit.", "利用限度額に達しているか、口座の残高が不足しています。"
"Valid account for payment method not found.", "決済方法に対する有効なアカウントが見つかりませんでした。"
"Security code invalid or card did not pass preauthorization.", "セキュリティコードに誤りがあるか、事前オーソリに失敗しました。"
"Payment cancelled by payer.", "決済がキャンセルされました。"
"Payment rejected by card issuer.", "決済がカード発行者によって拒否されました。"
"Card stolen or lost.", "このカードは紛失/盗難が報告されています"
"Payer did not take action before charge expiration.", "有効期限前に操作がありませんでした。"
"Update now to use the secure form to securely accept payment information. Note that you must re-customize the credit card checkout form after the upgrade.", "Update now to use the secure form to securely accept payment information. Note that you must re-customize the credit card checkout form after the upgrade."
"For more details, please click %1 here %2.", "For more details, please click %1 here %2."
